minimum_nights,number_of_reviews,availability_365,neighbourhood_n,room_type_n,price
0.034482758620689655,0.004769475357710652,0.0,0.20454545454545453,0.0,60
0.034482758620689655,0.015898251192368842,0.8575342465753425,0.02727272727272727,0.0,49
0.3793103448275862,0.0,0.0,0.08636363636363636,0.5,140
0.034482758620689655,0.007949125596184421,0.0,0.05454545454545454,0.5,150
0.034482758620689655,0.13195548489666137,0.1095890410958904,0.01818181818181818,0.0,100
0.034482758620689655,0.07154213036565978,0.0,0.09090909090909091,0.5,111
1.0,0.0,0.0,0.08636363636363636,0.5,110
0.0,0.3799682034976153,0.7863013698630137,0.12727272727272726,0.0,105
0.06896551724137931,0.0,0.9808219178082191,0.09090909090909091,0.5,400
1.0,0.006359300476947536,1.0,0.02727272727272727,0.0,50
0.034482758620689655,0.0397456279809221,0.0,0.08636363636363636,0.5,150
0.06896551724137931,0.004769475357710652,0.0136986301369863,0.13636363636363635,0.0,35
0.0,0.03815580286168522,0.9342465753424658,0.16818181818181818,0.0,85
0.0,0.004769475357710652,0.1178082191780822,0.05454545454545454,0.5,375
0.0,0.001589825119236884,0.0,0.06363636363636363,0.5,180
0.0,0.21621621621621623,0.547945205479452,0.02727272727272727,0.0,49
0.06896551724137931,0.011128775834658189,0.0,0.08636363636363636,0.0,110
0.0,0.10651828298887123,0.7232876712328767,0.07272727272727272,0.5,132
0.0,0.0,0.038356164383561646,0.1318181818181818,0.5,1680
0.0,0.006359300476947536,0.0,0.20454545454545453,0.0,125
0.06896551724137931,0.011128775834658189,0.0,0.06818181818181818,0.5,130
0.44827586206896547,0.0,0.2410958904109589,0.5181818181818182,0.5,110
0.1724137931034483,0.009538950715421305,0.0,0.06363636363636363,0.5,230
0.0,0.0,0.0,0.42727272727272725,0.0,48
0.0,0.001589825119236884,0.0,0.02727272727272727,0.0,65
0.06896551724137931,0.006359300476947536,0.0,0.06818181818181818,0.5,99
1.0,0.0,0.0410958904109589,0.049999999999999996,0.5,133
0.0,0.025437201907790145,0.8712328767123287,0.04090909090909091,0.5,210
0.034482758620689655,0.012718600953895072,0.06027397260273973,0.10909090909090909,0.0,55
0.0,0.02702702702702703,0.9972602739726028,0.022727272727272728,0.5,400
0.06896551724137931,0.003179650238473768,0.4301369863013699,0.02727272727272727,0.5,79
0.034482758620689655,0.014308426073131956,0.0,0.09999999999999999,0.5,89
0.6896551724137931,0.0,0.0,0.09545454545454544,0.0,36
0.10344827586206896,0.014308426073131956,0.0,0.05454545454545454,0.0,58
0.0,0.0,0.0,0.031818181818181815,0.0,70
0.13793103448275862,0.0,0.0,0.05454545454545454,0.0,100
0.0,0.06200317965023848,0.2904109589041096,0.03636363636363636,0.0,59
0.1724137931034483,0.001589825119236884,0.0684931506849315,0.08636363636363636,0.5,300
0.0,0.0,0.0,0.8181818181818181,0.0,100
0.10344827586206896,0.025437201907790145,0.038356164383561646,0.10454545454545454,0.5,220
0.034482758620689655,0.003179650238473768,0.0,0.09090909090909091,0.5,120
0.2068965517241379,0.015898251192368842,0.3424657534246575,0.14545454545454545,0.5,185
0.034482758620689655,0.1192368839427663,0.07945205479452055,0.11818181818181818,0.5,129
0.0,0.07472178060413355,0.9205479452054794,0.09545454545454544,0.5,175
0.034482758620689655,0.1192368839427663,0.9972602739726028,0.35909090909090907,0.5,90
1.0,0.0,0.526027397260274,0.19999999999999998,0.0,34
0.06896551724137931,0.015898251192368842,0.9917808219178083,0.13636363636363635,0.0,85
1.0,0.001589825119236884,0.5178082191780822,0.03636363636363636,0.5,220
0.0,0.001589825119236884,0.0,0.004545454545454545,0.5,250
0.0,0.02384737678855326,0.9616438356164384,0.12727272727272726,0.5,200
0.034482758620689655,0.0,0.0,0.05454545454545454,0.0,210
0.0,0.001589825119236884,0.11232876712328767,0.00909090909090909,0.0,109
0.06896551724137931,0.004769475357710652,0.0,0.05454545454545454,0.5,145
0.06896551724137931,0.001589825119236884,0.0,0.00909090909090909,0.0,45
0.0,0.0,0.0,0.12727272727272726,0.5,150
0.034482758620689655,0.003179650238473768,0.005479452054794521,0.08636363636363636,0.5,175
0.3103448275862069,0.006359300476947536,0.0,0.09999999999999999,0.5,50
0.0,0.3783783783783784,0.673972602739726,0.10454545454545454,0.5,154
0.0,0.006359300476947536,0.0,0.9045454545454545,0.0,46
0.034482758620689655,0.0,0.2219178082191781,0.32727272727272727,0.0,70
0.13793103448275862,0.004769475357710652,0.0136986301369863,0.12272727272727273,0.0,249
0.034482758620689655,0.011128775834658189,0.0,0.03636363636363636,1.0,65
1.0,0.10333863275039747,0.6,0.11363636363636363,0.0,75
0.13793103448275862,0.003179650238473768,0.008219178082191782,0.12272727272727273,0.5,173
1.0,0.0,0.8493150684931506,0.05909090909090909,0.0,48
0.06896551724137931,0.1494435612082671,0.021917808219178082,0.06363636363636363,0.5,215
0.034482758620689655,0.017488076311605726,0.0,0.06363636363636363,0.5,225
0.034482758620689655,0.001589825119236884,0.0,0.02727272727272727,0.5,200
0.0,0.004769475357710652,1.0,0.08636363636363636,0.0,125
0.1724137931034483,0.04769475357710652,0.0,0.05909090909090909,0.5,165
0.0,0.02702702702702703,0.873972602739726,0.5181818181818182,1.0,28
0.0,0.0,0.24383561643835616,0.16818181818181818,1.0,200
0.034482758620689655,0.20826709062003182,0.9123287671232877,0.1318181818181818,0.0,48
0.06896551724137931,0.2686804451510334,0.8273972602739726,0.1409090909090909,0.5,199
0.0,0.025437201907790145,0.0,0.01818181818181818,0.0,76
0.06896551724137931,0.0,0.0,0.05454545454545454,0.0,100
0.1724137931034483,0.003179650238473768,0.0,0.15,0.5,149
0.06896551724137931,0.001589825119236884,0.0,0.02727272727272727,0.5,165
0.034482758620689655,0.08426073131955486,0.9972602739726028,0.17727272727272728,0.0,80
0.034482758620689655,0.017488076311605726,0.0,0.00909090909090909,0.5,87
0.034482758620689655,0.0,0.0,0.19999999999999998,0.0,120
0.0,0.0,0.0,0.16818181818181818,0.0,70
0.034482758620689655,0.05405405405405406,0.9232876712328767,0.02727272727272727,0.5,450
0.0,0.001589825119236884,0.0,0.09090909090909091,0.5,165
0.034482758620689655,0.0,0.0821917808219178,0.12727272727272726,0.0,85
0.0,0.001589825119236884,0.08767123287671233,0.031818181818181815,0.5,209
0.10344827586206896,0.020667726550079493,0.8191780821917808,0.00909090909090909,0.0,55
0.0,0.006359300476947536,0.09863013698630137,0.031818181818181815,0.5,190
0.034482758620689655,0.0,0.0,0.1318181818181818,0.5,130
0.06896551724137931,0.007949125596184421,0.0,0.12727272727272726,0.0,60
0.034482758620689655,0.16216216216216217,0.8054794520547945,0.45454545454545453,0.5,167
0.0,0.0,0.0,0.004545454545454545,0.5,149
0.44827586206896547,0.030206677265500796,0.263013698630137,0.022727272727272728,0.0,95
0.0,0.27344992050874406,0.6410958904109589,0.17727272727272728,0.5,125
0.0,0.0,0.0,0.11818181818181818,0.5,300
1.0,0.006359300476947536,0.0,0.03636363636363636,0.5,240
0.10344827586206896,0.012718600953895072,0.0,0.004545454545454545,0.5,270
0.0,0.001589825119236884,0.0,0.09545454545454544,0.0,55
0.034482758620689655,0.006359300476947536,0.11506849315068493,0.05909090909090909,0.5,120
0.13793103448275862,0.0,0.038356164383561646,0.20454545454545453,1.0,34
0.06896551724137931,0.006359300476947536,1.0,0.12727272727272726,0.5,250
0.13793103448275862,0.006359300476947536,0.010958904109589041,0.20454545454545453,0.5,180
0.0,0.033386327503974564,0.5150684931506849,0.32727272727272727,0.0,50
0.034482758620689655,0.0397456279809221,0.936986301369863,0.05454545454545454,0.0,95
0.0,0.16534181240063595,0.24657534246575344,0.16818181818181818,0.5,120
0.034482758620689655,0.22416534181240064,0.5917808219178082,0.2545454545454545,0.5,100
1.0,0.13195548489666137,0.8,0.031818181818181815,0.5,179
1.0,0.0,0.4246575342465753,0.3227272727272727,0.5,317
0.034482758620689655,0.20031796502384738,0.473972602739726,0.00909090909090909,0.0,80
0.06896551724137931,0.012718600953895072,0.13972602739726028,0.01818181818181818,0.5,156
0.06896551724137931,0.10810810810810811,0.3506849315068493,0.02727272727272727,0.5,100
0.0,0.24006359300476948,0.0,0.07272727272727272,0.0,169
0.06896551724137931,0.0,0.0,0.004545454545454545,0.5,119
0.0,0.009538950715421305,0.0,0.2954545454545454,0.0,50
0.034482758620689655,0.007949125596184421,0.0,0.01818181818181818,0.5,240
0.034482758620689655,0.003179650238473768,0.0,0.19545454545454544,0.5,175
0.10344827586206896,0.19236883942766297,0.09041095890410959,0.3181818181818182,0.5,72
0.034482758620689655,0.4689984101748808,0.5753424657534246,0.09545454545454544,0.0,60
0.0,0.0,0.9972602739726028,0.8954545454545454,0.0,59
0.0,0.05882352941176471,0.0136986301369863,0.02727272727272727,0.5,200
0.10344827586206896,0.0,0.0,0.05454545454545454,0.5,190
0.0,0.0,0.0,0.15454545454545454,0.0,35
0.10344827586206896,0.028616852146263912,0.0,0.00909090909090909,0.5,155
0.034482758620689655,0.001589825119236884,0.0,0.09090909090909091,0.0,55
0.034482758620689655,0.003179650238473768,0.8493150684931506,0.05454545454545454,0.5,300
0.034482758620689655,0.02702702702702703,0.2410958904109589,0.00909090909090909,0.0,170
1.0,0.0,0.589041095890411,0.1409090909090909,0.0,41
0.13793103448275862,0.02384737678855326,0.12602739726027398,0.01818181818181818,0.5,80
0.0,0.031796502384737683,0.663013698630137,0.02727272727272727,0.0,48
0.24137931034482757,0.046104928457869634,0.14794520547945206,0.00909090909090909,0.0,40
0.034482758620689655,0.13513513513513514,0.7452054794520548,0.06818181818181818,0.5,80
0.0,0.001589825119236884,0.0,0.2545454545454545,0.0,120
0.034482758620689655,0.028616852146263912,0.0,0.05454545454545454,0.5,299
0.0,0.01907790143084261,0.0,0.049999999999999996,0.5,170
0.06896551724137931,0.006359300476947536,0.24657534246575344,0.04090909090909091,0.0,125
0.0,0.09538950715421304,0.9534246575342465,0.4818181818181818,0.0,35
0.06896551724137931,0.11446740858505565,0.7753424657534247,0.01818181818181818,0.5,150
0.0,0.004769475357710652,0.4767123287671233,0.20909090909090908,0.0,70
